title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения,Период аренды
"1-комн. кв., 48 м2","Бишкек, Филармония, пр.Манаса/фрунзе",$ 44 500,3 773 600 сом,$ 927/м2,78 617 сом/м2,Добавлено 1 месяц назад,Поднято 8 дней назад,128,от собственника,кирпичный,9 этаж из 9,,48 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Квартиры в Бишкеке
1-комнатная квартира c ремонтом 
48 м2
район Филармонии
пр.Мира/Фрунзе
Этаж 9 из 9 
СК Каганат
Лифт работает
Отопление есть
Кухня отдельная
цена: 45000$
Телефон: 
                    
#2комнатнаяквартира#2комквартира#2ком#2кв#1комнатнаяквартира#1комквартира#квартирывбишкеке#псо#недвижимостьвбишкеке#квартирыподсамоотделку#элитныеквартиры#квартирынапродажу#квартиры#квартира#мунарастрой#кокжар#квартирыпсо#квартирапсо#недвижимостьпсо#элитка#элитки#элиткапсо#квартираотсобственника#квартирабезпосредника#квартираотхозяина#продажквартир#купляквартир#продажанедвижимости#
","""42.8811""","""74.5892""",https://www.house.kg/details/94262646033387ba710d1-23233447,,
"3-комн. кв., 104 м2","Бишкек, 12 м-н 20/5",$ 98 000,8 310 400 сом,$ 942/м2,79 908 сом/м2,Добавлено 8 дней назад,,42,от собственника,"кирпичный, 2021 г.",7 этаж из 14,,"104 м2, жилая: 103 м2",,элитка,центральное,евроремонт,возможно подключение,,,,металлическая,,,,,,,,,,частично меблирована,,,,,,,,"""42.8153""","""74.6372""",https://www.house.kg/details/40948826051cf717c6f43-99629795,,
"3-комн. кв., 61 м2","Бишкек, 6 м-н",$ 51 500,4 367 200 сом,$ 844/м2,71 593 сом/м2,Добавлено 8 дней назад,,35,от агента,панельный,6 этаж из 9,,61 м2,,105 серия улучшенная,центральное,требует ремонта,,,раздельный,лоджия,,,,,,,,магистральный,,домофон,пустая,,2.9 м.,"улучшенная,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",нет,есть,,"

                                    Описание от продавца                            
👉Срочно продам! 3 к. кв. 6 мкр. 106 сер. 61м2. 51.5т.$
Продается 3 к. кв., парк «Ореховая роща»,
✅Средний 6 этаж!


Площадь квартиры 61 кв. метр,
✅2 застекленные лоджии,
✅Квартира на 6 этаже из 9,
Окна с видом восток/запад,
Удобная планировка,
Все комнаты изолированы,
Квартира в нормальном состоянии,
✅Свежие обои, пол линолеум,
Все коммуникации центральные,
Раздельный санузел, кафель,

Чистый двор, очень теплая квартира,
Хорошие соседи, облагороженный двор,

✅В шаговой доступности: рядом парк «Ореховая роща»,
2 минут до №56 школы, №44, №82 садик,
школа-гимназия №39, парк ""Берёзовая роща"",
магазины и многое другое

Просим: 51 500 $
Звоните сейчас
Покажу в течение 1-2 часов
","""42.8248""","""74.6309""",https://www.house.kg/details/96013416051ce38c5c6c7-08247467,,
"4-комн. кв., 113 м2","Бишкек, Ажыбек Баатыра",$ 102 000,8 649 600 сом,$ 903/м2,76 545 сом/м2,Добавлено 1 месяц назад,Поднято 9 дней назад,136,от собственника,монолитный,9 этаж из 12,,113 м2,,элитка,центральное,евроремонт,,,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,,полностью меблирована,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 4-х комнатная квартира в элитном доме,в районе Ак-Кеме
Застройщик-СК ""Ихлас""
ЖК-""Касабелла""
Общая площадь-113м2
Этаж-9/12
Всё коммуникации центральн
ые
Техпаспорт имеется
Квартира с новым ремонтом, мебель остается

Цена-102000долл.

Тел.-0505802020
","""42.8409""","""74.5822""",https://www.house.kg/details/892927860339ad499b1e2-47143261,,
"5-комн. кв., 156 м2","Бишкек, Белорусская 2",$ 86 000,7 292 800 сом,$ 551/м2,46 749 сом/м2,Добавлено 15 дней назад,Поднято 9 дней назад,39,от собственника,панельный,2 этаж из 9,,156 м2,,106 серия,центральное,евроремонт,,,2 с/у и более,лоджия,бронированная,,,,,,,магистральный,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
Продаётся 5-комнатная Квартира в Юг-2
106 серия
Общая площадь-156м2
Этаж-2/9
Лоджия утеплена
Почти вся мебель 
Тихий район, всё в шаговой доступности, отличная транспортная развязка!

Цена: 86000$
Торг при осмотре
Тел.-0505802020
","""42.8494""","""74.6259""",https://www.house.kg/details/80772316049d4d6603174-42628942,,
"2-комн. кв., 72 м2","Бишкек, Пр.Мира",$ 82 800,7 021 440 сом,$ 1 150/м2,97 520 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,808,от собственника,"монолитный, 2017 г.",2 этаж из 11,,72 м2,,элитка,автономное,под самоотделку (псо),,,раздельный,,бронированная,паркинг,,,,,,магистральный,,"охрана,                                             видеонаблюдение",,,3 м.,"улучшенная,                                             комнаты изолированы",,есть,обмен не предлагать,"

                                    Описание от продавца                            
Организация – застройщик ОсОО «Авангард стиль»
Новый жилой комплекс «Фрунзе» — это уникальный проект, который возводится в одном из самых престижных и благоустроенных районов города Бишкек, на пересечении проспекта Мира и Южной магистрали.
Комплекс представляет собой ансамбль из 3 домов единого архитектурного стиля этажностью от 8 до 11 уровней.
Неповторимая архитектурно-планировочная концепция и ландшафтный дизайн, формирует уникальную атмосферу комплекса.
Элегантная архитектура зданий скрывает под собой прочный монолитный каркас, обеспечивающий жилому комплексу «Фрунзе» высочайшую безопасность и надежность.
При строительстве жилого комплекса использованы самые передовые технологии, качественные строительные материалы, внедрены новейшие инженерные разработки.
2-х комнатная квартира расположена на втором этаже в первом блоке жилого комплекса «Фрунзе».
Квартира юридически оформлена. Имеется технический паспорт ГРС.
Квартира расположена на солнечной стороне, окнами выходит во двор, где расположена оборудованная детская игровая площадка.
В шаговой доступности находятся торговые и развлекательные центры. Парковая зона и велосипедные дорожки. Хорошая транспортная развязка. Экологически чистый район
Площадь квартиры 72 м2. Квартира готова под самостоятельную отделку. На стенах произведен один слой шпаклевки. Подоконники выполнены из натурального камня.
","""42.8245""","""74.5842""",https://www.house.kg/details/77410586006dc0a7c1088-23063528,,
"3-комн. кв., 87 м2","Бишкек, Ажыбек Баатыра",$ 83 000,7 038 400 сом,$ 954/м2,80 901 сом/м2,Добавлено 11 дней назад,Поднято 9 дней назад,43,от агента,монолитный,7 этаж из 12,,87 м2,,элитка,центральное,евроремонт,,,,балкон,бронированная,паркинг,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 3-ком квартира,в элитном доме.
Ак-кеме ,СК""Ихлас "",""Касабелла""
Евро-ремонт
Общая площадь-87м2
Этаж 7/12
Дом заселен
Коммуникации подведены , подключены
Отличный район, чистый воздух ,парки ,Велотреки

Цена : 83000$
Тел: 0505802020
","""42.8413""","""74.5824""",https://www.house.kg/details/7379859604f2a4a239420-13429499,,
"Дом, 5-комн., 225 м2","Бишкек, Худайбергенова/Джаманбаева",$ 295 000,25 016 000 сом,$ 1 311/м2,111 182 сом/м2,Добавлено 4 месяца назад,Поднято 9 дней назад,453,от собственника,"кирпичный, 2019 г.",,2,225 м2,,,на газе,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,,,,,,"

                                    Описание от продавца                            
Продается  новый особняк,в престижном районе,ул.Жаманбаева/Худайбергенова
Участок-5соток
Общая площадь дома-222м2
Дом-двухуровневый
Количество комнат-5,3-санузла
Все коммуникации центральные,
подключены
Новый качественный ремонт,делали для себя
Новая мебель и техника!!!
Планировка дома очень удобная
Двор дома полностью обустроен,облагорожен
Имеется навес,зона для барбекю,беседка
Документы на руках,юридически 
чисты, имеется Красная книга, техпаспорт
В шаговой доступности вся инфраструктура:рядом БГУ, Политех, университет ""Манас"", Азия-Молл, школы 61,48 ,детские сады и т. д.
Транспорт во все стороны города

Цена-295000долл.

Тел-0505802020
","""42.8518""","""74.5915""",https://www.house.kg/details/67424015fce084c407408-73973696,,
"1-комн. кв., 38 м2","Бишкек, 6 м-н",$ 33 500,2 840 800 сом,$ 882/м2,74 758 сом/м2,Добавлено 4 месяца назад,Поднято 9 дней назад,440,от собственника,панельный,3 этаж из 4,,38 м2,,104 серия,центральное,евроремонт,,,совмещенный,,бронированная,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 1-комнатная квартира,104-серии,в 6-мкр.по старой дороге
Этаж-3/4
Неугловая
Лоджия расширена,пластик
Санузел кафель
Дверь бронированная
В квартире сделан новый ремонт
Вся инфраструктура в шаговой доступности:березовая ,ореховая рощи,школы, детские сады и т.д.
Транспорт во все стороны города

Цена-33500долл.

Тел.-0505802020
","""42.8206""","""74.6254""",https://www.house.kg/details/11104405fc774f29e0291-57191427,,
"Дом, 4-комн., 200 м2","Бишкек, Матросова",$ 185 000,15 688 000 сом,$ 925/м2,78 440 сом/м2,Добавлено 1 месяц назад,Поднято 9 дней назад,176,от собственника,"кирпичный, 2020 г.",,1,200 м2,,,на газе,евроремонт,,,раздельный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю новый дом, в хорошем районе Бишкека ул.Матросова/Медерова
Тип строения-кирпич,4-жилые комнаты:
3 спальни, зал, просторный холл, большая кухня, 2 сан/узла, тамбур
✅ Участок-5соток
✅ Площадь дома-200м2
✅Все коммуникации центральные,трёхфазная система электроснабжения, отопление газ+твердое топливо
✅Подвал с котельной 
✅Качественный ремонт, выполнен из дорогих материалов
✅большая территория с брусчаткой под парковку
✅Электро-ворота на пульте
✅В шаговой доступности магазины, гипермаркет ""Globus"", много дет.садов, школа, баня ""Байтур""
✅ Все документы на руках
Цена: 185000$ реальным клиентам уступим!!!

По всем вопросам обращаться по тел. 0505802020
  0773142640
","""42.8509""","""74.6185""",https://www.house.kg/details/1599774602f6b317608c6-77305605,,
"2-комн. кв., 73 м2","Бишкек, 12 м-н, мкрн 12, 21а (ул. Саякбая Каралаева / ул. Нуркамал Жетикашкаевой)",$ 65 000,5 512 000 сом,$ 890/м2,75 507 сом/м2,Добавлено 1 месяц назад,Поднято 9 дней назад,158,от собственника,монолитный,9 этаж из 10,,73 м2,,элитка,центральное,евроремонт,,,раздельный,,бронированная,,,,,,,магистральный,,,частично меблирована,,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся 2-х комнатная квартира,в элитном доме, в 12 мкр
СК -""Елизавета""
ЖК-""Самолёт""
Общая площадь-73м2 
Этаж-9/10
В квартире сделан отличный ремонт, очень светлая и уютная.
Все коммуникации центральные
Техпаспорт на руках. 
Мебель остается частично
Окна выходят на север и юг
Также имеются загороженная территория видеонаблюдение детская площадка,паркинг
Вся инфраструктура в шаговой доступности, тихий, спальный район. 
 
 Цена-65000долл.

 Тел.-0505802020
","""42.8157""","""74.6374""",https://www.house.kg/details/2715061602e25f2a3bbc4-15990049,,
"2-комн. кв., 50 м2","Бишкек, 10 м-н",$ 41 500,3 519 200 сом,$ 830/м2,70 384 сом/м2,Добавлено 1 месяц назад,Поднято 9 дней назад,102,от агента,панельный,2 этаж из 5,,50 м2,,105 серия,центральное,хорошее,,,раздельный,,бронированная,,,,,,,магистральный,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
🔥🔥 Продается 2-х комнатная квартира 105 серии,в 10-мкр.
Общая площадь-50м2
Этаж-2/5
Неугловая
Состояние квартиры хорошее
Вся мебель и бытовая техника
Вся инфраструктура в шаговой доступности
Удобная транспортная развязка

Цена-41500долл.

Тел.-0505802020
  0773142640
","""42.8321""","""74.6013""",https://www.house.kg/details/7962188602f8109e8cb65-25554673,,
"2-комн. кв., 45 м2","Бишкек, 8 м-н",$ 39 800,3 375 040 сом,$ 884/м2,75 001 сом/м2,Добавлено 9 дней назад,,57,от собственника,панельный,2 этаж из 5,,45 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 
Количество комнат: 2х
Адрес: по ул.Байтик-Батыра по 2линии 
Тип строение: кирпичный
Серия: индивид
Этаж:  2 из 5
Площадь:  45м²
Комуникации: центральные
Состояние: хорошее
Документы: тех.паспорт 
Цена: 39800$*
Тел:     +996709323185 

ПОДРОБНОСТИ:  состояние хорошее,не угловая , санузел раздельный,окна пластиковые, комнаты изолированные,новые батерии ,Аристон,дверь бронированая,балкон утеплён, частично мебель и бытовая техника остаётся,
Детская площадка огорожена ,есть парковка огорожена.
В шаговой доступности
Транспортная развязка развита
Контакты:0553293338/0500293338

#кыргызстан#недвижимостьбишкек
#квартирабишкек#жилье#куплюпродам
#бишкек
","""42.8331""","""74.608""",https://www.house.kg/details/39717686051c689ec7826-88861703,,
"Дом, 4-комн., 175 м2","Бишкек, Фрунзе/Пархоменко",$ 120 000,10 176 000 сом,$ 686/м2,58 149 сом/м2,Добавлено 9 месяцев назад,Поднято 9 дней назад,1941,от агента,"кирпичный, 2012 г.",,2,"175 м2, жилая: 60 м2, кухня: 20 м2",3 соток,,смешанное,хорошее,возможно подключение,adsl,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,возможно подключение,,,пустая,ламинат,2.8 м.,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю новый, кирпичный 2 эт. особняк с подвалом. 2012 г.п. Пархоменко/Фрунзе. Участок 3 сотки.
Огорожен высоким, капитальным забором. Имеются все коммуникации.  В подвале котельная, спортзал, кладовая комната.
1 эт. кухня, зал, санузел, прихожая.
2 эт. 3 спальни, санузел, холл.
Дом в отличном состоянии останется встроенная кухня. 
Цена 120.000$ т.
","""42.8792""","""74.6478""",https://www.house.kg/details/42364515eef0933bda8f6-76330680,,
"3-комн. кв., 66 м2","Бишкек, киевская/турусбекова",$ 52 500,4 452 000 сом,$ 795/м2,67 455 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,457,от агента,кирпичный,4 этаж из 5,,"66 м2, жилая: 50 м2, кухня: 6 м2",,индивид. планировка,центральное,хорошее,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок",частично меблирована,линолеум,,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю светлую, уютную, теплую 3 кв.
Киевская/ Турусбекова. Дом кирпичный, индив.проект!
4/5. Не угловая. 2 лоджии застекленные из зала и спальни.  Сан узел раздельный! Просторная прихожая.
Общая площадь 66 м2. Окна выходят на Север и Юг.
Отличное расположение дома, удобные подъездные пути!!!
Квартира в хорошем состоянии, можно заехать и жить!
Цена 52.500$ т. 0705 009969. 0550 307598.
","""42.8745""","""74.583""",https://www.house.kg/details/1787035ffbf796779e28-41432089,,
"2-комн. кв., 50 м2","Бишкек, Аламедин-1 м-н, Калинина/Ворошилова",$ 36 500,3 095 200 сом,$ 730/м2,61 904 сом/м2,Добавлено 29 дней назад,Поднято 9 дней назад,122,от агента,"панельный, 1990 г.",1 этаж из 9,,"50 м2, жилая: 40 м2, кухня: 7 м2",,105 серия,центральное,хорошее,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон",пустая,линолеум,2.8 м.,"пластиковые окна,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",нет,есть,,"

                                    Описание от продавца                            
Продаю 2 кв. Начало мкр. Аламедин-1. Телеком.
105 серия. 1/9. Не угловая. 2 лоджии.
Окна пластиковые+ решетки. Дверь бронь.
Сан узел в кафеле, трубы пластик. Стены обои.
Квартира чистая и аккуратная!!!
Цена 36.500$ т. 0705 009969. 0550 307598.
","""42.8783""","""74.6787""",https://www.house.kg/details/2966649603621141758f5-81419834,,
"3-комн. кв., 115 м2","Бишкек, пр.Чинг.Айтматова/Балтагулова",$ 67 000,5 681 600 сом,$ 583/м2,49 405 сом/м2,Добавлено 1 год назад,Поднято 9 дней назад,2079,от агента,"кирпичный, 2019 г.",6 этаж из 10,,"115 м2, жилая: 65 м2, кухня: 18 м2",,элитка,центральное,под самоотделку (псо),,,раздельный,лоджия,металлическая,паркинг,,,,,,магистральный,,,пустая,,3 м.,,есть,,с доплатой покупателя,"

                                    Описание от продавца                            
Срочно продаю 3 кв. район ""Азии Молл"" пр.Мира/Балтагулова. элитка.
Все коммуникации центральные.
от СК ""Азия Курулуш"" 6/10. ПСО.
Сдан в эксплуатацию, техпаспорт на руках.
Общая площадь 115 м2.
Шикарный панорамный вид на западную часть города.
Дом сдан под самоотделку, можно начинать ремонт. свет и воду подключили, лифты установлены.
Внешняя отделка Сары- Таш.
Огороженный, охраняемый тихий двор.
","""42.8543""","""74.588""",https://www.house.kg/details/36286585e3e7440c08eb7-64266459,,
"1-комн. кв., 52 м2","Бишкек, Поваринская/Тыналиева",$ 37 500,3 180 000 сом,$ 721/м2,61 154 сом/м2,Добавлено 10 месяцев назад,Поднято 9 дней назад,853,от агента,"кирпичный, 2020 г.",4 этаж из 13,,"52 м2, жилая: 22 м2, кухня: 12 м2",,индивид. планировка,центральное,евроремонт,возможно подключение,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,частично меблирована,ламинат,3 м.,,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю  просторную, уютную и светлую 1 кв. мкр. Джал-15
от СК "" Аалам Строй"" Дом кирпичный, завершенный.
Квартира на 4/13. 1 лоджия из кухни. Сан узел раздельный. 
Просторная прихожая. Все коммуникации  центральные!
Общая площадь 52м2. Квартира с ремонтом, в отличном 
состоянии! Окна выходят на Восток и Запад.
","""42.8471""","""74.5678""",https://www.house.kg/details/31895715ed4a6f63c0232-62087466,,
"2-комн. кв., 46 м2","Бишкек, Ипподром, Термечикова/Л. Толстого",$ 32 000,2 713 600 сом,$ 696/м2,58 991 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,222,от агента,"кирпичный, 1981 г.",5 этаж из 5,,"46 м2, жилая: 32 м2, кухня: 6 м2",,индивид. планировка,центральное,хорошее,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,пустая,дерево,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю теплую светлую уютную 2 кв.
Центр Пишпека. Базарчик. Ул. Термечикова. Дом кирпичный, индивидуальный проект 1981 г.п.
Квартира расположена на 5 этаже, крыша шатровая, в отличном состоянии. Не угловая. Лоджия из зала застекленная.
По всей квартире новые пластиковые окна. Выходят на Юг и Север.  Комнаты изолированные, санузел раздельный.
Все трубы пластиковые. Полы дерево.
Дверь бронированная, стены обои. 
Квартира в хорошем состоянии, с приятной аурой. 
Общая площадь 46 м2.
Огороженный двор с парковкой и детской площадкой. Отличное расположение дома. 
Чистые подъезды.
Цена 32.000$ т. 0705 009969. 0550 307598
","""42.8641""","""74.5546""",https://www.house.kg/details/448360060218fa5794848-47565910,,
"2-комн. кв., 56 м2","Бишкек, Джал-23 м-н (Нижний Джал), Тыналиева/Минжылкиева",$ 43 990,3 730 352 сом,$ 786/м2,66 613 сом/м2,Добавлено 9 дней назад,,46,от агента,"панельный, 1996 г.",6 этаж из 9,,"56 м2, жилая: 30 м2, кухня: 11 м2",,106 серия,центральное,среднее,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,частично меблирована,линолеум,2.8 м.,"неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,"

                                    Описание от продавца                            
Срочно! Продаю 2 кв. 
мкр. Сред. Джал. Тыналиева.
106 серия. 6/9. Не угловая. Окна выходят на Восток и Запад. 2 лоджии застекленные. Дверь бронь. Сан узел в кафеле. Всё трубы пластиковые.
Квартира теплая, светлая, чистая и аккуратная. Отличное расположение дома. Удобные подъездные пути.
Цена 44.000$. 0705 009969.
0550 307598
","""42.8373""","""74.5668""",https://www.house.kg/details/1281526051c3d9524f64-51668900,,
"3-комн. кв., 97.9 м2","Бишкек, Ажыбек баатыра",$ 70 488,5 977 382 сом,$ 720/м2,61 056 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,255,от агента,монолитный,3 этаж из 10,,97.9 м2,,элитка,центральное,под самоотделку (псо),,проводной,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",пустая,ламинат,3.1 м.,,,,,"

                                    Описание от продавца                            
ЖК Магнат. Район Ак Кеме.
3-этаж.2 комнатная квартира. Общая площадь:97,9 м 2.
3-этаж.ПСО. Дом заселён, отопление есть. Цена:720$ за м 2.
","""42.8395""","""74.5815""",https://www.house.kg/details/8326887600a8d842d45b7-87189499,,
"3-комн. кв., 100 м2","Бишкек, Ажыбек баатыра 9/Шота Руставели",$ 85 000,7 208 000 сом,$ 850/м2,72 080 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,284,от собственника,монолитный,3 этаж из 10,,"100 м2, жилая: 60 м2, кухня: 15 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,раздельный,застекленный балкон,металлическая,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю 3ком.кв 100кв.м. на 3 этаже с новым ремонтом,район Ак-кеме пинара старый аэропорт одноподьездный клубный дом всего 40квартир, первый этаж магазин, аптека, стоматология, второй этаж учебный офис, Ажыбек баатыра 9 пересекает Шота Руставели, рядом Компаньон банк.
","""42.8405""","""74.5823""",https://www.house.kg/details/5628211601ffada4f8a81-45514719,,
"Коммерческая недвижимость, 14 м2","Бишкек, 7 м-н, Жукеева Пудовкина/Безымянная",$ 6 500,551 200 сом,$ 464/м2,39 371 сом/м2,Добавлено 1 год назад,Поднято 9 дней назад,2068,от собственника,"другое, 2015 г.",,1,14 м2,,,,хорошее,возможно подключение,,,,,,,,,,,,,"охрана,                                             видеонаблюдение",,,,,есть,,,"

                                    Описание от продавца                            
ПРОДАЮ ПАВИЛЬОН НА ОРТО САЙСКОМ РЫНКЕ С ОБОРУДОВАНИЕМ, ЕСТЬ ХОЛОД.ВОДА. РАЗМЕРЫ 7 НА 2.
","""42.8354""","""74.6171""",https://www.house.kg/details/31671755e05db1754fbe5-43509389,,
"3-комн. кв., 114 м2","Бишкек, Ажыбек баатыра 9/Шота Руставели",$ 68 000,5 766 400 сом,$ 596/м2,50 582 сом/м2,Добавлено 3 месяца назад,Поднято 9 дней назад,261,от собственника,монолитный,8 этаж из 11,,"114 м2, жилая: 80 м2, кухня: 13 м2",,элитка,центральное,под самоотделку (псо),,проводной,раздельный,застекленный балкон,металлическая,паркинг,,,,,,магистральный,,кодовый замок,пустая,ламинат,3 м.,"улучшенная,                                             комнаты изолированы,                                             тихий двор",,есть,,"

                                    Описание от продавца                            
Продаю 3ком.кв ПСО 114кв.м район Ак-кеме пинара старый аэропорт одноподьездный клубный дом всего 40квартир просим 600$за кв.м
","""42.8403""","""74.5822""",https://www.house.kg/details/45247215ff3152a9bf9a2-78580747,,
"Дом, 4-комн., 70 м2","Бишкек, Красный Строитель ж/м, боомский 27",$ 18 000,1 526 400 сом,$ 257/м2,21 806 сом/м2,Добавлено 17 дней назад,Поднято 9 дней назад,211,от собственника,"кирпичный, 1989 г.",,1,"70 м2, жилая: 50 м2",7 соток,,смешанное,хорошее,,,,,,,,,септик,центральное водоснабжение,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
продаю дом, участок 7 соток, 18000$ телефон +996555300574 только Вотсап звонки и сообщения
","""42.9437""","""74.5902""",https://www.house.kg/details/34411916047292871a1c1-35385209,,
"2-комн. кв., 64.5 м2","Бишкек, Ажыбек баатыра 9",$ 62 000,5 257 600 сом,$ 961/м2,81 513 сом/м2,Добавлено 2 месяца назад,Поднято 9 дней назад,193,от собственника,монолитный,3 этаж из 11,,"64.5 м2, кухня: 12 м2",,элитка,центральное,евроремонт,нет,проводной,раздельный,застекленный балкон,металлическая,паркинг,,,,,,магистральный,,"кодовый замок,                                             видеонаблюдение,                                             домофон",частично меблирована,ламинат,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся 2 комнатная квартира с ремонтом.
в районе Старого Аэропорта.Ак Кеме.
3 этаж из 11.
Общая площадь: 65м2.
Дом кирпичный,все коммуникации центральные.
Отличный район.
В шаговой доступности школы Билимкана,Ломоносова,университеты,кинотеатр Манас,супермаркеты,детские сады, банк Компаньон.
Квартира частично с мебелью и бытовой техникой.
Цена: 62000$,торг.
По всем вопросам обращаться по номеру: 0559773181
#недвижимостьбишкек 
#Элиткабишкек 
#новыйдом
#квартирабишкек
#районаккеме
#элитныйд
","""42.8403""","""74.5822""",https://www.house.kg/details/8900322600a8aa8065bd0-59693051,,
"Дом, 6 и более комнат, 150 м2",Бишкек,$ 120 000,10 176 000 сом,$ 800/м2,67 840 сом/м2,Добавлено 9 месяцев назад,Поднято 9 дней назад,551,от собственника,"кирпичный, 2017 г.",,2,"150 м2, кухня: 24 м2",4 соток,,смешанное,хорошее,есть,оптика,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,ковролин,,,,есть,,"

                                    Описание от продавца                            
продаю дом , дом строили для себя 2 этажа около 150-200 м2 туалет в доме и с наружи , идеально подошёл бы швейный цех или же детский сад (сам хотел открыть, но собираюсь за границу).  во дворе ландшафтный водопад , тапчан , центральная канализация, отопление газ,свет и твердое топливо .  видео наблюдение 2 камеры (можно добавить ещё 2) двор на 3-4 машины , есть складские помещения. хороший торг уместен
","""42.8773""","""74.6302""",https://www.house.kg/details/52016205eeac3e0cb3fb4-72747176,,
"Дом, 4-комн., 110 м2","Бишкек, Ак-Тилек 2 ж/м, Станиславский переулок дом 9/февралская",$ 42 000,3 561 600 сом,$ 382/м2,32 378 сом/м2,Добавлено 9 дней назад,,48,от собственника,"кирпичный, 1976 г.",,1,"110 м2, жилая: 72 м2, кухня: 15 м2",5 соток,,без отопления,среднее,есть,проводной,раздельный,,,,,,септик,центральное водоснабжение,есть,магистральный,,решетки на окнах,полностью меблирована,дерево,250 м.,"баня,                                             сад,                                             навес",,,,"

                                    Описание от продавца                            
продаю дом 🏡 очень хорошим районе тихий район уютный дом
","""42.9275""","""74.6096""",https://www.house.kg/details/38802576051b5e74c1f02-15000647,,
"3-комн. кв., 65 м2","Бишкек, Филармония",$ 49 500,4 197 600 сом,$ 762/м2,64 578 сом/м2,Добавлено 9 дней назад,,29,от собственника,кирпичный,5 этаж из 5,,65 м2,,индивид. планировка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 3-комнатная Квартира в районе Токтогула/Турусбекова
Индивидуальный проект
Общая площадь-65 м2
Этаж-5/5
Лоджия/Утеплена
Частично мебель
Тихий район, всё в шаговой доступности.
Цена: 49500$
Торг при осмотре
","""42.8737""","""74.5845""",https://www.house.kg/details/11682576051b4865b1561-91338203,,
