title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды,Тип строения
"1-комн. кв., 32 м2","Бишкек, 8 м-н, Жукеева-Пудовкина 14/Рынок ""Орто-Сай""",$ 31 000,2 628 800 сом,$ 969/м2,82 150 сом/м2,Добавлено 11 дней назад,Поднято 2 дня назад,634,от собственника,панельный,1 этаж из 4,,32 м2,,104 серия,,хорошее,есть,,,нет,металлическая,,,,,,,,,,,,,пластиковые окна,,,,"

                                    Описание от продавца                            
Продаётся 1 комнатная квартира 104 серии в 8 мкр.

Общая площадь 32 м2.  

1 этаж из 4. 

Удобное расположение ,  позволит вам как новому владельцу использовать все преимущества развитой инфраструктуры.

В шаговой доступности центральные магазины, поликлиники, учебные заведения, административные здания, остановки общественного транспорта.
 (Ортосайский рынок, Космопарк, Бета 2.)

31 000$

Звоните прямо сейчас и приходите на просмотр, насчет цены договоримся.  

+996702852702
+996999885050
","""42.8346""","""74.6136""",https://www.house.kg/details/7867781604dc0c26ec939-59747868,,
"3-комн. кв., 76 м2",Бишкек,$ 76 500,6 487 200 сом,$ 1 007/м2,85 358 сом/м2,Добавлено 2 дня назад,,16,от агента,кирпичный,3 этаж из 5,,76 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 3-х ком.кв 🏢
 🔹 Московская/Турусбекова (Спорттовары)
🔹76 м² (64м²
+ лоджия 12 м²)
🔹этаж 3/5
🔹евроремонт
🔹 все центральные коммуникации 
🔹в ванной кафель, сантехника / Чехия 🇨🇿
🔹трубы, электропроводка новая, окна пластиковые 
🔹 частично со встроенной мебелью, кухонный гарнитур
🔹на лоджиях встроенные шкафы
🔹Квартира светлая  и просторная, окна выходят на Север и Юг
🔹Золотой квадрат, всё в шаговой доступности.
 🔹Соседи хорошие
-----------------------------
Цена: 76.500$ 💵💵💵
-----------------------------
📞 0700740445
📞 0999792077
","""42.871""","""74.5843""",https://www.house.kg/details/44341786059ba507fc348-51467452,,
"Дом, 5-комн., 62 м2","Бишкек, Рабочий Городок, Островского 33/Красная",$ 70 000,5 936 000 сом,$ 1 129/м2,95 742 сом/м2,Добавлено 2 года назад,Поднято 2 дня назад,2258,от собственника,кирпичный,,1,62 м2,6 соток,,,хорошее,,оптика,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,дерево,,,нет,нет,рассмотрю варианты,,"""42.8597""","""74.5655""",https://www.house.kg/details/46674055d164119115bf1-53609042,,
"4-комн. кв., 62 м2","Бишкек, Восток-5 м-н",$ 52 000,4 409 600 сом,$ 839/м2,71 123 сом/м2,Добавлено 2 дня назад,,25,от агента,панельный,2 этаж из 9,,62 м2,,105 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно!Продам.4 ком.Востоке-5,этаж8/9.105 серия,2лоджии/застек. Без/Рем.  52,000$ торг
","""42.875""","""74.6362""",https://www.house.kg/details/32575496059b9a50e0493-79203831,,
"Дом, 5-комн., 62 м2","Бишкек, Рабочий Городок, Островского 33/Красная",$ 70 000,5 936 000 сом,$ 1 129/м2,95 742 сом/м2,Добавлено 2 года назад,Поднято 2 дня назад,2260,от собственника,кирпичный,,1,62 м2,6 соток,,,хорошее,,оптика,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,дерево,,,нет,нет,рассмотрю варианты,,"""42.8597""","""74.5655""",https://www.house.kg/details/46674055d164119115bf1-53609042,,
"4-комн. кв., 62 м2","Бишкек, Восток-5 м-н",$ 52 000,4 409 600 сом,$ 839/м2,71 123 сом/м2,Добавлено 2 дня назад,,27,от агента,панельный,2 этаж из 9,,62 м2,,105 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно!Продам.4 ком.Востоке-5,этаж8/9.105 серия,2лоджии/застек. Без/Рем.  52,000$ торг
","""42.875""","""74.6362""",https://www.house.kg/details/32575496059b9a50e0493-79203831,,
"3-комн. кв., 112 м2","Бишкек, Бакаева 132/Ахунбаева",$ 88 500,7 504 800 сом,$ 790/м2,67 007 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,124,от агента,"монолитный, 2016 г.",10 этаж из 11,,112 м2,,элитка,центральное,евроремонт,есть,проводной,2 с/у и более,застекленный балкон,бронированная,паркинг,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3-комнатную элитную квартиру 
Адрес : Чапаева/Ахунбаева 
СК: Ихлас ЖК ""Бакаева 132""
Один из самых лучших домов!!!

Евро-ремонт
Площадь: 112м2
Этаж 10/11

Дом заселен
С тех паспортом
Все центральные комуникации 

Отличный район, чистый воздух ,
парковка вокруг дома

Цена всего : 88.500$

Цена до 15 февраля, потом будет дороже

Т.:0779123277; 0700778710
","""42.8419""","""74.5772""",https://www.house.kg/details/901316060292b4e555cd7-73985068,,
"3-комн. кв., 82 м2","Бишкек, 7 м-н, Юнусалиева",$ 82 000,6 953 600 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,150,от агента,кирпичный,2 этаж из 8,,82 м2,,элитка,центральное,евроремонт,есть,проводной,раздельный,,бронированная,,,,,,,магистральный,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру, которая была переделана в 3-х комнатную-студию (зал-студия + 2 отдельные спальни) в ЖК ЮГ-7 (7 мкр.)

жилой комплекс находится по ул.Юнусалиева (бывш.К.Маркса), выше Орто-Сайского рынка

месторасположение идеальное как для проживания, так и для сдачи в аренду,

рядом расположены десткие сады (частные и государственные), школы (20, 3, 17), бассейны, Космо парк, Бета Сторес 2, ДСК (бассейн), магазины, банки и т.д. и т.п.

общая площадь 82 кв.м., этаж самый лучший - 2 из 8, все окна выходят на запад, квартира не угловая

застройщик ОсОО Анилия, дом сдан в эксплуатацию в 2015г., мы - первые и единственные хозяева!

квартиры юридически чистая, под арестом и в залоге никогда не состояла.

внутри сделан евровремонт, дорогие обои, натяжные потолки, в сан.узлах 100% кафель, везде установлена мебель, настиланы ковры, вся техника практически новая (около 1 года) на гарантии.

ремонт был сделан для себя с особым трепептом и любовью, все это оставим новому хозяину.

продаем в связи с переездом.

Цена 82 тыс.долл.США + будет торг  реальным покупателям

возможна продажа в ипотеку.

обмен возможен только на недорогое авто (до 10 тыс.долл.США)+доплата мне, цена на обмен та же.
","""42.8293""","""74.6224""",https://www.house.kg/details/6671973602bd11811d634-50007467,,
"Дом, 4-комн., 80 м2","Бишкек, Чатыркульский",$ 95 000,8 056 000 сом,$ 1 188/м2,100 700 сом/м2,Добавлено 15 дней назад,Поднято 2 дня назад,106,от агента,кирпичный,,1,80 м2,4 соток,,,,,,,,,,,,,,,,,,,,,,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю дом 4комн., 80кв.м, септик,  сан.узел в доме. 

 

р-он ул.Карла Маркса-Суванбердиева, пер.Чатыркульский,

 

4 сотки красная книга, размер 24 на 17 метров

 

цена 95т.$ торг

 

0556 62 32 08
","""42.8474""","""74.6241""",https://www.house.kg/details/13015176048b6bcc6ae69-67689730,,
"1-комн. кв., 33 м2","Бишкек, Жибек Жолу/Шевченко",$ 36 000,3 052 800 сом,$ 1 091/м2,92 509 сом/м2,Добавлено 2 месяца назад,Поднято 2 дня назад,266,от агента,"кирпичный, 2018 г.",9 этаж из 10,,33 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,нет,есть,,"

                                    Описание от продавца                            
Продаю 1 комнатную квартиру  33м2 с ремонтом, на 9 эт /10, СК Оомат, дом сдан в эксплуатацию, все центральные коммуникации, отопление центральное, кирпичный дом, 2 лифта.

цена 36т.$

0555 62 32 08
","""42.8838""","""74.5836""",https://www.house.kg/details/751842360084e41104954-90327627,,
"1-комн. кв., 30 м2","Бишкек, БГУ, Ш.Руставели/Ахунбаева",$ 23 800,2 018 240 сом,$ 793/м2,67 275 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,183,от агента,кирпичный,1 этаж из 4,,30 м2,,хрущевка,центральное,среднее,есть,проводной,совмещенный,балкон,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно! Продам!

1 к.квартиру в р-е Политех, Мира\Ахунбаева (Шота Руставелли)

1 этаж
Состояние: среднее
Хрущевка- кирпич

Прошу 23 800$
","""42.8449""","""74.5847""",https://www.house.kg/details/88203726030a2a9171955-52536871,,
"Дом, 5-комн., 140 м2","Бишкек, Ак-Орго ж/м",$ 46 000,3 900 800 сом,$ 329/м2,27 863 сом/м2,Добавлено 2 месяца назад,Поднято 2 дня назад,315,от собственника,другое,,1,140 м2,7 соток,,на твердом топливе,среднее,,,раздельный,,,,,,септик,центральное водоснабжение,есть,,,решетки на окнах,частично меблирована,,3 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес,                                             гараж",,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаётся большой дом, 5 комнат, 140 м2, участок 7 соток, имеется 4 комнатная времянка, навес для авто, большой двор. г. Бишкек, район Первомайский, ж/ м Ак Босого. Цена 46000 $ рассмотрим вариант обменна на квартиру с доплатой в обе стороны. 0705410122.
","""42.8431""","""74.5202""",https://www.house.kg/details/677864960178ca21ba2a3-93062798,,
"3-комн. кв., 116 м2","Бишкек, ул. Тыналиева, 2/21",$ 62 500,5 300 000 сом,$ 539/м2,45 690 сом/м2,Добавлено 6 дней назад,Поднято 2 дня назад,31,от агента,"монолитный, 2019 г.",8 этаж из 14,,116 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,2.8 м.,,нет,нет,,"

                                    Описание от продавца                            
Срочно срочно. Алтын булак 2. Имарат строй. Цена 540 $ за м2
","""42.8539""","""74.5635""",https://www.house.kg/details/702700660549a5085d1b7-07656124,,
"2-комн. кв., 64 м2","Бишкек, пр.Ч.Айтматова",$ 46 720,3 961 856 сом,$ 730/м2,61 904 сом/м2,Добавлено 15 дней назад,Поднято 2 дня назад,94,от собственника,"панельный, 2022 г.",8 этаж из 14,,64 м2,,элитка,,,,,,,,,,,,,,,,,,,3.3 м.,,,,,"

                                    Описание от продавца                            
Продаю две  1 ком квартиры на 8 этаже, 13 этажного дома. 53,4 квм и 53 квм, псо 2 квартал 2022 года. Цена за нал 730$ за квм. 


Продаю 2 ком квартиру на 6 этаже, 13 этажного дома. 64,71 квм, псо 2 квартал 2022 года. Цена за нал 730$ за квм.

Продаю 1 ком квартиру на 6 этаже, 13 этажного дома. 53,4 квм, псо 2 квартал 2022 года. Цена за нал 730$ за квм. 

Продаю 2 ком квартиру на 4 этаже, 13 этажного дома. 65,2 квм, псо 2 квартал 2022 года. Цена за нал 730$ за квм.
","""42.8384""","""74.5864""",https://www.house.kg/details/61623326048e439ea2032-02100112,,
"2-комн. кв., 62 м2","Бишкек, мкр Тунгуч ул. Исакеева 18/1",$ 36 000,3 052 800 сом,$ 581/м2,49 239 сом/м2,Добавлено 2 дня назад,,21,от собственника,"монолитный, 2020 г.",2 этаж из 7,,62 м2,,элитка,,под самоотделку (псо),,,,балкон,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
дата завершения в май месяц 2021 года
","""42.8585""","""74.6815""",https://www.house.kg/details/96945486059b3bde37416-89496301,,
"2-комн. кв., 52 м2","Бишкек, 12 м-н, Токонбаева 38",$ 52 500,4 452 000 сом,$ 1 010/м2,85 615 сом/м2,Добавлено 2 дня назад,,15,от собственника,"монолитный, 1991 г.",7 этаж из 9,,52 м2,,106 серия,центральное,хорошее,возможно подключение,проводной,раздельный,балкон,бронированная,,,,,,,магистральный,,"решетки на окнах,                                             домофон",частично меблирована,линолеум,3 м.,"пластиковые окна,                                             тихий двор",,,,,"""42.8128""","""74.6381""",https://www.house.kg/details/25910846059b1216c99a9-88634656,,
"5-комн. кв., 178 м2","Бишкек, 7 м-н",$ 126 000,10 684 800 сом,$ 708/м2,60 027 сом/м2,Добавлено 3 месяца назад,Поднято 2 дня назад,330,от собственника,"кирпичный, 1999 г.",5 этаж из 6,,178 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 5 ком квартиру в 7 мкр.
Индивидуальная планировка, дом 1999г. 
4 спальни, большая кухня, большой зал.
Все комнаты изолированные.
Хороший ремонт, продаем с мебелью, техникой.
Квартира двухуровневая:
1 -й этаж: кухня, 3 спальни, 2 санузла, кладовка 
2-й этаж: спальня со своим санузлом и с душевой кабиной, большой зал с мраморным камином, 2 больших застекленный балкона, один из них оборудован под кабинет, с тёплым полом.
Этаж 5 и 6 
 Площадь 178м2, (без балконов)
Высота потолков 3 метра.
Центральные коммуникации, электроприготовление.
Идеальный вариант для большой семьи.
Отличное расположение! 
Рассмотрим обен на 2 или 3 ккв+ доплата

$128000
","""42.8287""","""74.6179""",https://www.house.kg/details/68138955fd9cc081e9132-83034108,,
"2-комн. кв., 42 м2","Бишкек, 4 м-н",$ 33 500,2 840 800 сом,$ 798/м2,67 638 сом/м2,Добавлено 4 дня назад,Поднято 2 дня назад,34,от собственника,панельный,1 этаж из 4,,42 м2,,104 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2к квартиру хорошо расположен 
Рядом есть все:
26 школа-гимназия, магазины, аптеки, остановки, орто сайский рынок
1 этаж из 4
42,5м2
квартира без ремонта 
33 500$ без торга
Собственник 0771377779
","""42.8395""","""74.6229""",https://www.house.kg/details/913094560582520a029c3-58158502,,
"1-комн. кв., 18 м2","Бишкек, 5 м-н",$ 10 800,915 840 сом,$ 600/м2,50 880 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,54,от собственника,кирпичный,5 этаж из 5,,18 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам комнату гостиничного (коридорного) типа

5 микрорайон, недалеко от Донецкой

Сан узел и кухня на этаже общая

5 этаж из 5

Не угловая

Центральное отопление, газ есть

пластиковые окна, навесные потолки, стены- эмульсия

Окна выходят на восток



Прошу 10 900$ торг чисто символически

Звоните!
","""42.8347""","""74.6277""",https://www.house.kg/details/30433156052fa682fa816-43710547,,
"2-комн. кв., 72 м2","Бишкек, ул. Панфилова / ул. Чуйкова",$ 55 500,4 706 400 сом,$ 771/м2,65 367 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,31,от собственника,"монолитный, 2018 г.",4 этаж из 12,,72 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Панфилова/Боконбаева, 2к.кв., псо, 71.8м2, 4 этаж из 9. СК Памир Строй. Дом сдан в эксплуатацию, люди живут. Техпаспорт. Двор огражден, видеонаблюдение. Коммуникации центральные. Цена 57500$
","""42.865""","""74.5998""",https://www.house.kg/details/84157426052f8c1d56472-55172936,,
"2-комн. кв., 72 м2","Бишкек, ул. Панфилова / ул. Чуйкова",$ 55 500,4 706 400 сом,$ 771/м2,65 367 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,30,от собственника,"монолитный, 2018 г.",4 этаж из 12,,72 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Панфилова/Боконбаева, 2к.кв., псо, 72.5м2, 4 этаж из 9. СК Памир Строй. Дом сдан в эксплуатацию, люди живут. Техпаспорт. Двор огражден, видеонаблюдение. Коммуникации центральные. Цена 57500$
","""42.865""","""74.5998""",https://www.house.kg/details/90250526052f77d731088-91972990,,
"2-комн. кв., 46 м2","Бишкек, ул. Панфилова / ул. Чуйкова",$ 42 500,3 604 000 сом,$ 924/м2,78 348 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,31,от собственника,"монолитный, 2018 г.",4 этаж из 12,,46 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Панфилова/Боконбаева, 2к.кв., 46м2, 4 этаж из 9. СК Памир Строй. Дом сдан в эксплуатацию, люди живут. Техпаспорт. С ремонтом.  Двор огражден, видеонаблюдение. Коммуникации центральные. Цена 43500$
","""42.865""","""74.5998""",https://www.house.kg/details/4758546052f5d2634248-73402883,,
"2-комн. кв., 63 м2","Бишкек, ул. Панфилова / ул. Чуйкова",$ 47 000,3 985 600 сом,$ 746/м2,63 263 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,37,от собственника,"монолитный, 2018 г.",4 этаж из 12,,63 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Панфилова/Боконбаева, 2к.кв. псо, 63м2, 4 этаж из 9. СК Памир Строй. Дом сдан в эксплуатацию, люди живут. Техпаспорт. Двор огражден, видеонаблюдение. Коммуникации центральные. Цена 48500$
","""42.865""","""74.5998""",https://www.house.kg/details/56766716052f46c193794-30920607,,
"1-комн. кв., 35 м2","Бишкек, Джал-23 м-н (Нижний Джал)",$ 29 000,2 459 200 сом,$ 829/м2,70 263 сом/м2,Добавлено 7 дней назад,Поднято 2 дня назад,42,от собственника,панельный,3 этаж из 9,,35 м2,,105 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю или меняю 1 комнатную квартиру в Нижнем Джале, ориентир Онтарио
105 серия
Не угловая 
Хорошее состояние
Окна, трубы пластик
В ванной кафель нового образца 100% 
3 из 9 этаж
Все центральные коммуникации
С документами все в порядке
Цена: 29000$
","""42.8421""","""74.5658""",https://www.house.kg/details/98255026052f205688847-45371456,,
"1-комн. кв., 42 м2","Бишкек, Салиева/Т.Айтматова",$ 28 800,2 442 240 сом,$ 686/м2,58 149 сом/м2,Добавлено 25 дней назад,Поднято 2 дня назад,257,от агента,панельный,5 этаж из 9,,"42 м2, жилая: 22 м2, кухня: 11 м2",,106 серия улучшенная,центральное,хорошее,,,совмещенный,лоджия,бронированная,,,,,,,магистральный,,домофон,,ламинат,2.8 м.,,,,,"

                                    Описание от продавца                            
Продается в центре города
 1 комнатная квартира

✓Салиева/Айтматова
✓на 5 этаже из 9
✓не угловая, 106 серии улучшенная.

✓2 лоджии застеклённые расширенные

✓коммуникации все центральные

✓квартира в хорошем состоянии.Ждет своих новых хозяев.

✓Цена $28 800

Тел:+996(555)79-85-85
+996(701)543030
","""42.884""","""74.6298""",https://www.house.kg/details/9325285603b5853d62631-67783532,,
"1-комн. кв., 32 м2","Бишкек, Асанбай м-н",$ 30 000,2 544 000 сом,$ 938/м2,79 500 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,49,от собственника,панельный,1 этаж из 5,,32 м2,,105 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продается 1 комнатная квартира в микрорайоне Асанбай
1 из 5 этаж
105 серия
Угловая, но очень теплая
Лоджия застекленная утепленая
Решетки на окнах
Нужен небольшой косметический ремонт
Окна, трубы пластик
Кафель нового образца 100%
Решетки на окнах
Пустая
Заезд со стороны старой дороги
Цена: 30000$ окончательно
","""42.8186""","""74.6248""",https://www.house.kg/details/30473266052ef8d7fcda3-71167372,,
"2-комн. кв., 52 м2",Бишкек,$ 44 000,3 731 200 сом,$ 846/м2,71 754 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,49,от собственника,монолитный,2 этаж из 4,,52 м2,,элитка,на газе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам 2к.квартиру в районе Китайского посольства, ориентир Мира\Магистраль

В новом клубном доме, всего 11 квартир- Для тех кто любит тишину )

Двор огорожен!

Квартира Студийная- 52 м2

2 этаж из 4

Хороший ремонт, с  мебелью

Отопление газовое

Тех паспорт имеется

Прошу 44 000$
","""42.824""","""74.5839""",https://www.house.kg/details/58994906052e6f3636aa3-09576153,,
"1-комн. кв., 34 м2","Бишкек, 4 м-н",$ 30 000,2 544 000 сом,$ 882/м2,74 824 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,66,от собственника,панельный,7 этаж из 9,,34 м2,,индивид. планировка,электрическое,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 1к квартира в 4мкр
Дом индивидуальной планировки 
7 этаж из 9
34м2
Остается кухонный гарнитур 
Цена 30000$
","""42.8371""","""74.6228""",https://www.house.kg/details/56325766052dea2c3dfc2-70282501,,
"Дом, 4-комн., 126 м2",Бишкек,$ 63 000,5 342 400 сом,$ 500/м2,42 400 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,47,от собственника,кирпичный,,,126 м2,2 соток,,смешанное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается двухуровневый дом 126м2
Расположение: Усенбаева/Жибек Жолу
Коммуникации: центральные, отопление-электрическое/газовое/твердое
Участок 2сотки 
1й этаж-71м2
2й этаж-55м2
Цена:63000$
","""42.8857""","""74.6151""",https://www.house.kg/details/75242826052db20c7bdb0-97534439,,
"2-комн. кв., 53 м2","Бишкек, Улан-2 м-н",$ 44 000,3 731 200 сом,$ 830/м2,70 400 сом/м2,Добавлено 8 дней назад,Поднято 2 дня назад,25,от агента,кирпичный,7 этаж из 9,,53 м2,,106 серия улучшенная,электрическое,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам 2 к.квартиру в мкр Улан-2
7 этаж из 9
Кирпичный дом
Солнечная сторона
Не студия!
Прошу 44 000$
","""42.8445""","""74.6338""",https://www.house.kg/details/97813636052d675cb8015-27594211,,
"Дом, 4-комн., 250 м2","Бишкек, Джал 15 м-н",$ 265 000,22 472 000 сом,$ 1 060/м2,89 888 сом/м2,Добавлено 9 дней назад,Поднято 2 дня назад,56,от собственника,кирпичный,,2,250 м2,,,на твердом топливе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочная цена!
Продам дом (особняк) на Ахунбаева\Курчатова
Участок 12 соток, 2 уровня- 250 м2
Дом кирпичный! 3 спальни+ гостиная+кухня-22 м2+2 холла
2 сан узла, 2 входа в дом

На участке плодовый сад, огород, место на 2 машины, летняя кухня, очок-3 казана,бойлер, хоз.помещение.
2 линии водоснабжения,2 линии электроснабжения.
Участок подойдет как для жилья. так и для бизнеса- мед.цетр, строительство клубного дома и т.д

Прошу $ 265 000

т.:0507509508
","""42.8438""","""74.5624""",https://www.house.kg/details/9233178605190952e5a49-12017335,,
"Участок, 17 соток","Бишкек, Джал 15 м-н",$ 450 000,38 160 000 сом,,,Добавлено 9 дней назад,Поднято 2 дня назад,53,от собственника,,,,,17 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаем участок Ахунб/ Курчатова( близко к ахунбаева). Участок по документам около 17сот. Фактически 21 сотка. Оптимально подходит под многоэтажку!!!! Цена 450 тыс $
","""42.8438""","""74.5625""",https://www.house.kg/details/338649360518b41083368-48175194,,
"1-комн. кв., 18 м2","Бишкек, 5 м-н",$ 11 300,958 240 сом,$ 628/м2,53 236 сом/м2,Добавлено 9 дней назад,Поднято 2 дня назад,37,от собственника,кирпичный,5 этаж из 5,,18 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается дешево для такой квадратуры 1к квартира коридорного типа в 5мкр
5 этаж из 5 угловая
состояние хорошее 
комната в хорошем состоянии
","""42.8319""","""74.6266""",https://www.house.kg/details/566120660506c6014ac16-79900758,,
"2-комн. кв., 55 м2",Бишкек,$ 33 000,2 798 400 сом,$ 600/м2,50 880 сом/м2,Добавлено 9 дней назад,Поднято 2 дня назад,85,от собственника,"панельный, 1989 г.",5 этаж из 12,,55 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам 2кв. Индивид. план. Жибек-Жолу-222/ Суюмбаева, этаж 5 из 12, Площадь 46,3 м2 + 3 лоджии, итого Площадь с лоджиями 55м2, (кухня= 7,9м2), год постройки 1989 год. Санузел раздельный, комнаты изолированные, 3 лоджии застекленные, лифт работает, электро приготовление. Цена 33000$ торг. Тел. :
","""42.8852""","""74.6224""",https://www.house.kg/details/411323360504fda5ba983-41747229,,
"Участок, 8 соток",Бишкек,$ 135 000,11 448 000 сом,,,Добавлено 3 месяца назад,Поднято 2 дня назад,523,от собственника,,,,,8 соток,,,,,,,,,,"свет,                                             газ,                                             телефон,                                             канализация,                                             вода,                                             интернет",,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам участок в р-е Магистраль\Баха (Выше Магистрали)
8 соток, по факту 13 соток
Участок правильной формы
Все коммуникации проходят
Можно под бизнес, Угловой !

Прошу 135 000$
","""42.8296""","""74.5632""",https://www.house.kg/details/76557985fe05feb5c84e8-30959615,,
"2-комн. кв., 65 м2","Бишкек, просп. Мира, 95/3",$ 65 000,5 512 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 10 дней назад,Поднято 2 дня назад,47,от собственника,"монолитный, 2017 г.",7 этаж из 12,,65 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 2к квартира в районе Старого Аэропорта                                                                                                                                     65м2                                                                                                                                                                                      7 этаж из 12                                                                                                                                                                             Все коммуникации центральные 
Дом Новый, кирпичный, теплый,
газ подведен, газовая сигнализация,
пожарная сигнализация, вода, электричество,
водонагреватель                                                                                                                                                   Натяжные потолки,
Дом чистый, двор освещен, хорошие соседи,
хороший район, парковая зона, чистый воздух.
Рядом с домом.
- Патрульная милиция (Старый Аэропорт), Ак-Кеме,
- Гастрономы - Народный, Фрунзе, Аптеки,
- Универмаги - Азия мол, Ала Арча
- Университеты - Политех, Манас,
- Школы - 61 УКАФМШЛ, Cambridge, Oxford
- Посольства - Казахстана, США
- Парки - Парк Здоровья, Ынтымак, Ататюрк
- Велодорожки, Беговые, Стадионы, Кинотеатр Манас                                                                                                     Цена: 65000$ торг не уместен
","""42.8392""","""74.5824""",https://www.house.kg/details/219991604f2b2842bd73-52832862,,
"1-комн. кв., 32 м2","Бишкек, Асанбай м-н",$ 30 000,2 544 000 сом,$ 938/м2,79 500 сом/м2,Добавлено 10 дней назад,Поднято 2 дня назад,59,от собственника,панельный,3 этаж из 5,,32 м2,,105 серия,центральное,требует ремонта,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам1 ком кВ 105 серии
Асанбай 
3 этаж из 5 угол абсолютно без ремонта 
30 000$ окончательно
","""42.8186""","""74.6248""",https://www.house.kg/details/2418280604f0324b16479-28748990,,
"3-комн. кв., 65 м2",Бишкек,$ 52 000,4 409 600 сом,$ 800/м2,67 840 сом/м2,Добавлено 10 дней назад,Поднято 2 дня назад,48,от собственника,кирпичный,5 этаж из 5,,65 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3к квартира на Турусб/Сыдыкова
65м2
Дом кирпичный
Индив планировки
5 этаж из 5
не угловая 
все коммуникации центральные 
Квартира в хорошем состоянии
Окна выходят на юг
Сан узлы раздельные
Цена: 52 000 с минимальным торгом
","""42.8737""","""74.5846""",https://www.house.kg/details/4767832604efecfc66575-52099448,,
